Date,Real Demand,Additive Holt-Winters,Multiplicative Holt-Winters
2016-01-08,6.041842,3.9902203523958133,3.892077011169424
2016-01-09,3.174533,1.306067540805845,1.4719596236730201
2016-01-10,0.307224,0.668449895328254,0.5989925189495591
2016-01-11,2.277051,4.3928494163590095,4.344345768180566
2016-01-12,6.371741,4.737563777871744,4.745096561383841
2016-01-13,3.764492,3.6992646737656063,3.4599651239450173
2016-01-14,4.001344,4.1028557994659085,3.883743603856359
2016-01-15,3.204563,3.9931483111570087,3.8943885177231556
2016-01-16,1.664586,1.3089954995670405,1.47283382125626
2016-01-17,0.124609,0.6713778540894495,0.5993482609169494
2016-01-18,5.325449,4.395777375120205,4.346925877383443
2016-01-19,2.711011,4.740491736632938,4.747914676690462
2016-01-20,3.199452,3.7021926325268018,3.462019999025014
2016-01-21,2.895489,4.105783758227104,3.8860501611951688
2016-01-22,7.222116,3.996076269918204,3.8967013970818263
2016-01-23,3.633808,1.311923458328236,1.4737085380258979
2016-01-24,0.0455,0.674305812850645,0.5997042141596783
2016-01-25,4.010323,4.3987053338814,4.349507518914512
2016-01-26,3.014201,4.7434196953941345,4.750734465677224
2016-01-27,2.434945,3.705120591287997,3.4640760944963853
2016-01-28,2.833802,4.108711716988299,3.8883580883995776
2016-01-29,3.305801,3.9990042286793996,3.8990156500607474
2016-01-30,1.8505455,1.3148514170894314,1.4745837742902776
2016-01-31,0.39529,0.6772337716118404,0.6000603788032227
2016-02-01,5.100227,4.401633292642596,4.352090693683825
2016-02-02,4.0558,4.746347654155329,4.753555929338127
2016-02-03,5.323412,3.7080485500491926,3.466133411083922
2016-02-04,5.071729,4.111639675749495,3.8906673862831482
2016-02-05,3.731704,4.001932187440595,3.901331277475711
2016-02-06,3.5798006666666664,1.3177793758506269,1.475459530357929
2016-02-07,3.4278973333333336,0.6801617303730358,0.6004167549731334
2016-02-08,3.275994,4.404561251403791,4.354675402601972
2016-02-09,3.077168,4.7492756129165254,4.756379068667759
2016-02-10,3.675462,3.710976508810389,3.468191949512848
2016-02-11,0.350031,4.11456763451069,3.892978055659929
2016-02-12,3.251796,4.00486014620179,3.9036482801429977
2016-02-13,1.7376005,1.3207073346118223,1.4763358065375627
2016-02-14,0.223405,0.6830896891342313,0.600773342795036
2016-02-15,3.604933,4.407489210164987,4.357261646580084
2016-02-16,2.686232,4.75220357167772,4.759203884661304
2016-02-17,2.18642,3.7139044675715844,3.4702517105088124
2016-02-18,2.125914,4.117495593271886,3.8952900973444504
2016-02-19,4.535797,4.0077881049629855,3.9059666588793682
2016-02-20,0.1,1.3236352933730178,1.4772126031380735
2016-02-21,2.606087,0.6860176478954267,0.6011301423946309
2016-02-22,5.112174,4.410417168926182,4.359849426529835
2016-02-23,2.775419,4.755131530438916,4.762030378314528
2016-02-24,2.82745,3.71683242633278,3.4723126947978993
2016-02-25,1.766155,4.120423552033081,3.8976035121517256
2016-02-26,3.743929,4.010716063724181,3.9082864145020713
2016-02-27,4.226964666666667,1.3265632521342132,1.4780899204685398
2016-02-28,4.710000333333333,0.6889456066566222,0.6014871538976929
2016-02-29,5.193036,4.413345127687378,4.362438743363438
2016-03-01,4.554147,4.758059489200111,4.764858550623801
2016-03-02,4.365375,3.7197603850939753,3.474374903106624
2016-03-03,3.986265,4.123351510794277,3.899918300897254
2016-03-04,4.02437,4.013644022485376,3.910607547828841
2016-03-05,0.1,1.3294912108954087,1.4789677588382233
2016-03-06,0.005,0.6918735654178176,0.6018443774300716
2016-03-07,4.100344,4.416273086448573,4.365029597993653
2016-03-08,4.699662,4.760987447961307,4.767688402586073
2016-03-09,2.580655,3.722688343855171,3.476438336161931
2016-03-10,3.628986,4.126279469555472,3.9022344643970177
2016-03-11,3.938226,4.016571981246572,3.9129300596778966
2016-03-12,1.971623,1.3324191696566041,1.4798461185565692
2016-03-13,0.00502,0.6948015241790131,0.6022018131176913
2016-03-14,3.625851,4.4192010452097685,4.367621991333772
2016-03-15,8.056144,4.763915406722502,4.77051993519889
2016-03-16,3.216736,3.7256163026163662,3.4785029946912003
2016-03-17,5.316634,4.1292074283166675,3.9045520034674843
2016-03-18,3.157581,4.019499940007767,3.915253950867942
2016-03-19,1.7837905,1.3353471284177996,1.480724999933207
2016-03-20,0.41,0.6977294829402085,0.6025594610865509
2016-03-21,1.712121,4.422129003970964,4.370215924297642
2016-03-22,3.810089,4.766843365483698,4.7733531494603945
2016-03-23,3.988966,3.7285442613775617,3.4805688794222385
2016-03-24,4.445346,4.132135387077863,3.9068709189256055
2016-03-25,3.920876,4.022427898768963,3.9175792222181705
2016-03-26,1.961088,1.338275087178995,1.4816044032779496
2016-03-27,0.0013,0.700657441701404,0.6029173214627247
2016-03-28,3.192796,4.425056962732159,4.372811397799642
2016-03-29,2.697892,4.769771324244893,4.776188046369317
2016-03-30,2.839889,3.731472220138757,3.48263599108329
2016-03-31,6.687889,4.135063345839058,3.9091912115888188
2016-04-01,4.658104,4.025355857530158,3.919905874548258
2016-04-02,2.329232,1.3412030459401905,1.4824843289007947
2016-04-03,0.00036,0.7035854004625994,0.6032753943723612
2016-04-04,3.877174,4.427984921493355,4.3754084127547
2016-04-05,6.129956,4.772699283006089,4.779024626924982
2016-04-06,2.04966,3.7344001788999526,3.4847043304030274
2016-04-07,4.060646,4.137991304600254,3.911512882275048
2016-04-08,3.976976,4.028283816291354,3.9222339086783693
2016-04-09,2.166015,1.344131004701386,1.4833647771119232
2016-04-10,0.355054,0.7065133592237949,0.6036336799416844
2016-04-11,4.570534,4.43091288025455,4.378006970078284
