Date,Real Demand,Predicted Demand
2016-01-09,3.174533,3.7759998
2016-01-10,0.307224,3.1358783
2016-01-11,2.277051,2.5076234
2016-01-12,6.371741,2.922126
2016-01-13,3.764492,3.8353958
2016-01-14,4.001344,3.2853043
2016-01-15,3.204563,3.3473864
2016-01-16,1.664586,3.1433086
2016-01-17,0.124609,2.7850943
2016-01-18,5.325449,2.4728186
2016-01-19,2.711011,3.6486278
2016-01-20,3.199452,3.0235004
2016-01-21,2.895489,3.1420426
2016-01-22,7.222116,3.0677097
2016-01-23,3.633808,3.9906466
2016-01-24,0.0455,3.2515697
2016-01-25,4.010323,2.4579
2016-01-26,3.014201,3.349764
2016-01-27,2.434945,3.0965176
2016-01-28,2.833802,2.9585907
2016-01-29,3.305801,3.0528512
2016-01-30,1.8505455,3.1684957
2016-01-31,0.39529,2.8259718
2016-02-01,5.100227,2.5245922
2016-02-02,4.0558,3.6090417
2016-02-03,5.323412,3.3618338
2016-02-04,5.071729,3.6482687
2016-02-05,3.731704,3.6040483
2016-02-06,3.5798006666666664,3.2768056
2016-02-07,3.4278973333333336,3.2377357
2016-02-08,3.275994,3.1991549
2016-02-09,3.077168,3.1610582
2016-02-10,3.675462,3.1119137
2016-02-11,0.350031,3.2622826
2016-02-12,3.251796,2.5158563
2016-02-13,0.0,3.1550336
2016-02-14,0.223405,2.4493625
2016-02-15,3.604933,2.491584
2016-02-16,2.686232,3.2441657
2016-02-17,2.18642,3.0176136
2016-02-18,2.125914,2.9014096
2016-02-19,4.535797,2.8876653
2016-02-20,0.1,3.4917648
2016-02-21,0.0,2.4681675
2016-02-22,5.112174,2.4493625
2016-02-23,2.775419,3.6111362
2016-02-24,2.82745,3.0388591
2016-02-25,1.766155,3.0513258
2016-02-26,3.743929,2.8073432
2016-02-27,4.226964666666667,3.2799718
2016-02-28,4.710000333333333,3.4076738
2016-02-29,5.193036,3.536822
2016-03-01,4.554147,3.6253273
2016-03-02,4.365375,3.4964838
2016-03-03,3.986265,3.4452233
2016-03-04,4.02437,3.3433976
2016-03-05,0.1,3.3534875
2016-03-06,0.005,2.4681675
2016-03-07,4.100344,2.4502993
2016-03-08,4.699662,3.3737004
2016-03-09,2.580655,3.5341318
2016-03-10,3.628986,2.9926658
2016-03-11,3.938226,3.250332
2016-03-12,1.971623,3.330722
2016-03-13,0.00502,2.8529253
2016-03-14,3.625851,2.4503028
2016-03-15,8.056144,3.249528
2016-03-16,3.216736,4.145909
2016-03-17,5.316634,3.146326
2016-03-18,3.157581,3.6470742
2016-03-19,1.7837905,3.131692
2016-03-20,0.41,2.8112257
2016-03-21,1.712121,2.5274389
2016-03-22,3.810089,2.7954838
2016-03-23,3.988966,3.2971606
2016-03-24,4.445346,3.3441114
2016-03-25,3.920876,3.467117
2016-03-26,1.961088,3.3261573
2016-03-27,0.0013,2.8505695
2016-03-28,3.192796,2.449606
2016-03-29,2.697892,3.1403954
2016-03-30,2.839889,3.0203822
2016-03-31,6.687889,3.0543144
2016-04-01,4.658104,3.892754
2016-04-02,2.329232,3.523338
2016-04-03,0.00036,2.9341242
2016-04-04,3.877174,2.44943
2016-04-05,6.129956,3.314687
2016-04-06,2.04966,3.7918184
2016-04-07,4.060646,2.870441
2016-04-08,3.976976,3.3631227
2016-04-09,2.166015,3.3409426
2016-04-10,0.355054,2.8967667
2016-04-11,4.570534,2.5168247
2016-04-12,2.535707,3.5007033
2016-04-13,3.148098,2.9821107
2016-04-14,3.475078,3.1293526
2016-04-15,3.96509,3.2110858
2016-04-16,0.0395,3.337804
2016-04-17,0.0,2.4567726
2016-04-18,5.038043,2.4493625
2016-04-19,3.597511,3.5981507
2016-04-20,2.555546,3.2422652
2016-04-21,4.921775,2.9867647
2016-04-22,3.288331,3.5778322
2016-04-23,3.666882,3.1641345
2016-04-24,4.045433,3.2600732
2016-04-25,4.423984,3.3590786
2016-04-26,3.461109,3.4612544
2016-04-27,2.602435,3.2075486
2016-04-28,4.194752,2.9977946
2016-04-29,1.600825,3.398997
2016-04-30,0.205466,2.7712216
2016-05-01,0.00155,2.4881659
2016-05-02,2.36558,2.449653
2016-05-03,0.776965,2.9425128
2016-05-04,0.465203,2.5995524
2016-05-05,1.151777,2.5381505
2016-05-06,7.144695,2.675557
2016-05-07,6.7583693333333335,3.976384
2016-05-08,6.372043666666667,3.905599
2016-05-09,5.985718,3.8354506
2016-05-10,5.2675,3.7659411
2016-05-11,2.816855,3.6384215
2016-05-12,2.590151,3.048783
2016-05-13,4.680195,2.9949007
2016-05-14,2.553525,3.5290716
2016-05-15,0.426855,2.98629
2016-05-16,5.661399,2.530704
2016-05-17,2.87291,3.7080827
2016-05-18,2.778182,3.062262
2016-05-19,2.801538,3.0395198
2016-05-20,4.582989,3.0451107
2016-05-21,2.2917725,3.5039132
2016-05-22,0.000556,2.925506
2016-05-23,7.637087,2.4494667
2016-05-24,3.529894,4.0675263
2016-05-25,2.323483,3.2250066
2016-05-26,3.382641,2.9328
2016-05-27,3.274237,3.1877544
2016-05-28,1.6383625,3.1606205
2016-05-29,0.002488,2.77938
2016-05-30,3.221946,2.4498286
2016-05-31,3.502141,3.1476185
2016-06-01,4.593657,3.2179506
2016-06-02,4.152028,3.5066652
2016-06-03,4.025082,3.3875248
2016-06-04,2.062816,3.3536766
2016-06-05,0.10055,2.8734047
2016-06-06,2.664371,2.4682713
2016-06-07,3.807253,3.01243
2016-06-08,3.594174,3.296422
2016-06-09,3.353794,3.2414114
2016-06-10,3.2609,3.1805103
2016-06-11,1.68045,3.1572993
2016-06-12,0.1,2.788557
2016-06-13,3.695758,2.4681675
2016-06-14,3.190852,3.267516
2016-06-15,2.042264,3.139914
2016-06-16,2.301616,2.8687758
2016-06-17,3.713945,2.927768
2016-06-18,1.923325,3.2722125
2016-06-19,0.132705,2.8421412
2016-06-20,4.962971,2.4743507
2016-06-21,4.258881,3.5850246
2016-06-22,3.530907,3.4162946
2016-06-23,4.476739,3.225264
2016-06-24,1.231446,3.4757514
2016-06-25,0.1,2.692273
2016-06-26,0.000539,2.4681675
2016-06-27,4.595783,2.4494634
2016-06-28,2.667414,3.5072143
2016-06-29,2.968256,3.013151
2016-06-30,8.474538,3.0853345
2016-07-01,4.311398,4.224914
2016-07-02,5.222578,3.4305284
2016-07-03,6.133758,3.6305194
2016-07-04,7.044938,3.7925014
2016-07-05,4.012256,3.9580448
2016-07-06,2.327337,3.3502765
2016-07-07,4.935617,2.933688
2016-07-08,4.007045,3.5802484
2016-07-09,2.0285375,3.348896
2016-07-10,0.05003,2.8656888
2016-07-11,3.488801,2.4587517
2016-07-12,3.513715,3.2145648
2016-07-13,2.930487,3.220891
2016-07-14,5.481413,3.0761735
2016-07-15,3.041193,3.6761687
2016-07-16,1.5223655,3.1031075
2016-07-17,0.003538,2.754251
2016-07-18,1.271348,2.4500253
2016-07-19,3.336089,2.7006862
2016-07-20,4.349125,3.1760724
2016-07-21,3.839376,3.4407923
2016-07-22,3.964419,3.3048003
2016-07-23,1.9852315,3.337627
2016-07-24,0.006044,2.8559716
2016-07-25,7.278507,2.4504948
2016-07-26,3.459104,4.0010505
2016-07-27,2.902989,3.207041
2016-07-28,3.916273,3.0695214
2016-07-29,8.852549,3.3249469
2016-07-30,0.000266,4.2969375
2016-07-31,0.049485,2.4494123
2016-08-01,5.235651,2.4586492
2016-08-02,4.950386,3.6328175
2016-08-03,4.30827,3.5828264
2016-08-04,2.541873,3.4296787
2016-08-05,4.477246,2.9835563
2016-08-06,2.2387555,3.4758914
2016-08-07,0.000265,2.9133534
2016-08-08,5.789877,2.449412
2016-08-09,2.724033,3.7309492
2016-08-10,2.409546,3.026599
2016-08-11,1.661087,2.952693
2016-08-12,1.30316,2.784331
2016-08-13,0.652646,2.7074137
2016-08-14,0.002132,2.5748808
2016-08-15,2.460394,2.4497619
2016-08-16,1.415202,2.9645126
2016-08-17,3.150501,2.7312477
2016-08-18,3.554027,3.1299453
2016-08-19,4.032005,3.2311552
2016-08-20,2.0370025,3.3555133
2016-08-21,0.042,2.8675919
2016-08-22,6.317772,2.457242
2016-08-23,3.284903,3.825647
2016-08-24,2.475031,3.1632793
2016-08-25,2.695947,2.967924
2016-08-26,3.428088,3.0199199
2016-08-27,0.001,3.199203
2016-08-28,0.000891,2.44955
2016-08-29,3.587964,2.4495292
2016-08-30,3.161855,3.2398224
2016-08-31,5.038322,3.1327467
2016-09-01,3.77263,3.5981991
2016-09-02,3.234796,3.287417
2016-09-03,0.00025,3.1508086
2016-09-04,0.0004,2.4494095
2016-09-05,4.531328,2.4494376
2016-09-06,3.609196,3.490617
2016-09-07,3.07456,3.2452576
2016-09-08,2.688381,3.1112742
2016-09-09,3.818159,3.0181236
2016-09-10,0.2,3.299264
2016-09-11,0.002,2.487125
2016-09-12,2.512405,2.449737
2016-09-13,3.79759,2.976654
2016-09-14,2.680246,3.2939062
2016-09-15,3.534428,3.0161932
2016-09-16,2.761253,3.226161
2016-09-17,0.0,3.035474
2016-09-18,0.072008,2.4493625
2016-09-19,1.375514,2.4628882
2016-09-20,2.64319,2.7227805
2016-09-21,5.217661,3.0074162
2016-09-22,0.6953,3.629655
2016-09-23,4.022973,2.5833178
2016-09-24,4.453737666666667,3.3531168
2016-09-25,4.884502333333333,3.4694228
2016-09-26,5.315267,3.571331
2016-09-27,3.794895,3.6468327
2016-09-28,3.073655,3.2932053
2016-09-29,4.936465,3.1110523
2016-09-30,6.245516,3.580396
2016-10-01,3.125608,3.8126144
2016-10-02,0.0057,3.1238122
2016-10-03,5.096281,2.4504304
2016-10-04,4.2027,3.6083498
2016-10-05,2.605608,3.4011362
2016-10-06,2.846492,2.9985428
2016-10-07,2.383695,3.0559018
2016-10-08,0.335313,2.9467022
2016-10-09,0.002104,2.5130227
2016-10-10,3.019732,2.4497566
2016-10-11,5.237966,3.0978665
2016-10-12,3.983416,3.6332247
2016-10-13,2.971933,3.3426442
2016-10-14,5.791144,3.086228
2016-10-15,0.02479,3.7311752
2016-10-16,0.01086,2.45401
2016-10-17,4.383419,2.4513974
2016-10-18,3.079574,3.4501507
2016-10-19,2.922857,3.112503
2016-10-20,4.087261,3.074326
2016-10-21,6.645592,3.3702106
2016-10-22,6.285882333333333,3.885055
2016-10-23,5.926172666666667,3.8198924
2016-10-24,5.566463,3.7552845
2016-10-25,4.33321,3.691232
2016-10-26,3.367031,3.436459
2016-10-27,2.969523,3.1838324
2016-10-28,3.303102,3.085642
2016-10-29,5e-05,3.167822
2016-10-30,1.469603,2.4493718
2016-10-31,3.208768,2.7429
2016-11-01,5.143365,3.1443508
2016-11-02,3.454837,3.6166067
2016-11-03,1.091664,3.2059617
2016-11-04,3.878953,2.6631277
2016-11-05,0.1,3.3151534
2016-11-06,0.938444,2.4681675
2016-11-07,4.831587,2.6319711
2016-11-08,4.434847,3.5621123
2016-11-09,4.542427,3.4642344
2016-11-10,3.816773,3.4934695
2016-11-11,3.302187,3.2989025
2016-11-12,2.1896335,3.1675928
2016-11-13,1.07708,2.9021418
2016-11-14,3.056277,2.6601453
2016-11-15,5.766481,3.1067967
2016-11-16,3.400866,3.7267797
2016-11-17,2.747727,3.1923406
2016-11-18,4.114787,3.0322459
2016-11-19,0.002,3.3775578
2016-11-20,0.901826,2.449737
2016-11-21,5.191621,2.624582
2016-11-22,3.945807,3.6250787
2016-11-23,1.341076,3.332719
2016-11-24,5.325381,2.7154546
2016-11-25,2.669727,3.6486154
2016-11-26,1.779864,3.013699
2016-11-27,0.890001,2.8103604
2016-11-28,4.485743,2.6222007
2016-11-29,3.86279,3.478232
2016-11-30,5.535632,3.310921
2016-12-01,6.221522,3.685768
2016-12-02,5.394989,3.8082922
2016-12-03,3.1421605,3.6608946
2016-12-04,0.889332,3.1278894
