Date,Real Demand,Predicted Demand
2016-01-09,3.174533,3.8006265
2016-01-10,0.307224,3.1144562
2016-01-11,2.277051,2.4519408
2016-01-12,6.371741,2.8173027
2016-01-13,3.764492,3.8064694
2016-01-14,4.001344,3.3343775
2016-01-15,3.204563,3.4287038
2016-01-16,1.664586,3.1251552
2016-01-17,0.124609,2.6633067
2016-01-18,5.325449,2.4259288
2016-01-19,2.711011,3.781549
2016-01-20,3.199452,2.9556746
2016-01-21,2.895489,3.1233306
2016-01-22,7.222116,3.017462
2016-01-23,3.633808,3.8134363
2016-01-24,0.0455,3.2838502
2016-01-25,4.010323,2.414827
2016-01-26,3.014201,3.4323509
2016-01-27,2.434945,3.058197
2016-01-28,2.833802,2.8665445
2016-01-29,3.305801,2.9965982
2016-01-30,1.8505455,3.1616051
2016-01-31,0.39529,2.6949177
2016-02-01,5.100227,2.4646804
2016-02-02,4.0558,3.7736893
2016-02-03,5.323412,3.450904
2016-02-04,5.071729,3.781482
2016-02-05,3.731704,3.77263
2016-02-06,3.5798006666666664,3.3216004
2016-02-07,3.4278973333333336,3.2632773
2016-02-08,3.275994,3.206359
2016-02-09,3.077168,3.1508117
2016-02-10,3.675462,3.0801198
2016-02-11,0.350031,3.29984
2016-02-12,3.251796,2.4581175
2016-02-13,0.0,3.1420872
2016-02-14,0.223405,2.4084873
2016-02-15,3.604933,2.4399343
2016-02-16,2.686232,3.2728283
2016-02-17,2.18642,2.947513
2016-02-18,2.125914,2.7895918
2016-02-19,4.535797,2.7713132
2016-02-20,0.1,3.6552498
2016-02-21,0.0,2.4224646
2016-02-22,5.112174,2.4084873
2016-02-23,2.775419,3.7741284
2016-02-24,2.82745,2.9770403
2016-02-25,1.766155,2.9944618
2016-02-26,3.743929,2.680488
2016-02-27,4.226964666666667,3.3263566
2016-02-28,4.710000333333333,3.521965
2016-02-29,5.193036,3.7225673
2016-03-01,4.554147,3.7770379
2016-03-02,4.365375,3.6633804
2016-03-03,3.986265,3.5808792
2016-03-04,4.02437,3.4225907
2016-03-05,0.1,3.4380672
2016-03-06,0.005,2.4224646
2016-03-07,4.100344,2.4091823
2016-03-08,4.699662,3.4692087
2016-03-09,2.580655,3.7198315
2016-03-10,3.628986,2.913099
2016-03-11,3.938226,3.2820063
2016-03-12,1.971623,3.4032145
2016-03-13,0.00502,2.7254899
2016-03-14,3.625851,2.409185
2016-03-15,8.056144,3.2808082
2016-03-16,3.216736,3.8097565
2016-03-17,5.316634,3.1295066
2016-03-18,3.157581,3.7812583
2016-03-19,1.7837905,3.1084394
2016-03-20,0.41,2.683492
2016-03-21,1.712121,2.466821
2016-03-22,3.810089,2.6713226
2016-03-23,3.988966,3.352258
2016-03-24,4.445346,3.4236846
2016-03-25,3.920876,3.6155233
2016-03-26,1.961088,3.3962533
2016-03-27,0.0013,2.7224019
2016-03-28,3.192796,2.408668
2016-03-29,2.697892,3.1209567
2016-03-30,2.839889,2.9513495
2016-03-31,6.687889,2.998648
2016-04-01,4.658104,3.8103926
2016-04-02,2.329232,3.7088568
2016-04-03,0.00036,2.833439
2016-04-04,3.877174,2.4085374
2016-04-05,6.129956,3.378805
2016-04-06,2.04966,3.8023648
2016-04-07,4.060646,2.7485259
2016-04-08,3.976976,3.452889
2016-04-09,2.166015,3.418832
2016-04-10,0.355054,2.783408
2016-04-11,4.570534,2.458844
2016-04-12,2.535707,3.6706614
2016-04-13,3.148098,2.8986225
2016-04-14,3.475078,3.1050808
2016-04-15,3.96509,3.223889
2016-04-16,0.0395,3.4140313
2016-04-17,0.0,2.4139893
2016-04-18,5.038043,2.4084873
2016-04-19,3.597511,3.771359
2016-04-20,2.555546,3.2700038
2016-04-21,4.921775,2.904999
2016-04-22,3.288331,3.7618976
2016-04-23,3.666882,3.1552727
2016-04-24,4.045433,3.2965374
2016-04-25,4.423984,3.4466624
2016-04-26,3.461109,3.6062253
2016-04-27,2.602435,3.2186854
2016-04-28,4.194752,2.920151
2016-04-29,1.600825,3.5084414
2016-04-30,0.205466,2.6526232
2016-05-01,0.00155,2.4373794
2016-05-02,2.36558,2.4087026
2016-05-03,0.776965,2.8447592
2016-05-04,0.465203,2.5213988
2016-05-05,1.151777,2.4748855
2016-05-06,7.144695,2.5795622
2016-05-07,6.7583693333333335,3.813267
2016-05-08,6.372043666666667,3.8110485
2016-05-09,5.985718,3.806474
2016-05-10,5.2675,3.799451
2016-05-11,2.816855,3.779613
2016-05-12,2.590151,2.9909024
2016-05-13,4.680195,2.9161706
2016-05-14,2.553525,3.7146869
2016-05-15,0.426855,2.9043486
