Date,Real Demand,Predicted Demand
2016-06-12,0.1,1.7176547
2016-06-13,3.695758,2.5414126
2016-06-14,3.190852,3.1958737
2016-06-15,2.042264,2.97789
2016-06-16,2.301616,1.8491977
2016-06-17,3.713945,2.1928818
2016-06-18,1.923325,3.2039683
2016-06-19,0.132705,1.6919837
2016-06-20,4.962971,2.5414126
2016-06-21,4.258881,3.641764
2016-06-22,3.530907,3.4540296
2016-06-23,4.476739,3.1232636
2016-06-24,1.231446,3.5579417
2016-06-25,0.1,2.2971323
2016-06-26,0.000539,2.5414126
2016-06-27,4.595783,2.5414126
2016-06-28,2.667414,3.6156342
2016-06-29,2.968256,2.6757197
2016-06-30,8.474538,2.8860207
2016-07-01,4.311398,3.531054
2016-07-02,5.222578,3.4788783
2016-07-03,6.133758,3.6363742
2016-07-04,7.044938,3.6141067
2016-07-05,4.012256,3.5862694
2016-07-06,2.327337,3.3390772
2016-07-07,4.935617,2.2269642
2016-07-08,4.007045,3.6423085
2016-07-09,2.0285375,3.33668
2016-07-10,0.05003,1.8310323
2016-07-11,3.488801,2.5414126
2016-07-12,3.513715,3.1049387
2016-07-13,2.930487,3.11577
2016-07-14,5.481413,2.8706956
2016-07-15,3.041193,3.6305914
2016-07-16,1.5223655,2.9158323
2016-07-17,0.003538,1.9055616
2016-07-18,1.271348,2.5414126
2016-07-19,3.336089,2.2442505
2016-07-20,4.349125,3.0392435
2016-07-21,3.839376,3.4968083
2016-07-22,3.964419,3.2602437
2016-07-23,1.9852315,3.317118
2016-07-24,0.006044,1.773756
2016-07-25,7.278507,2.5414126
2016-07-26,3.459104,3.5782077
2016-07-27,2.902989,3.0920691
2016-07-28,3.916273,2.8595865
2016-07-29,8.852549,3.2951286
2016-07-30,0.000266,3.5141728
2016-07-31,0.049485,2.5414126
2016-08-01,5.235651,2.5414126
2016-08-02,4.950386,3.6360922
2016-08-03,4.30827,3.642015
2016-08-04,2.541873,3.4773948
2016-08-05,4.477246,2.510622
2016-08-06,2.2387555,3.5581863
2016-08-07,0.000265,2.1095598
2016-08-08,5.789877,2.5414126
2016-08-09,2.724033,3.6231441
2016-08-10,2.409546,2.7498627
2016-08-11,1.661087,2.3358192
2016-08-12,1.30316,1.735091
2016-08-13,0.652646,2.2018967
2016-08-14,0.002132,2.5414126
2016-08-15,2.460394,2.5414126
2016-08-16,1.415202,2.4030628
2016-08-17,3.150501,2.051391
2016-08-18,3.554027,2.9610412
2016-08-19,4.032005,3.1333637
2016-08-20,2.0370025,3.3481758
2016-08-21,0.042,1.8422343
2016-08-22,6.317772,2.5414126
2016-08-23,3.284903,3.6089444
2016-08-24,2.475031,3.0174947
2016-08-25,2.695947,2.422404
2016-08-26,3.428088,2.7131114
2016-08-27,0.001,3.0786765
2016-08-28,0.000891,2.5414126
2016-08-29,3.587964,2.5414126
2016-08-30,3.161855,3.1482391
2016-08-31,5.038322,2.9657733
2016-09-01,3.77263,3.6402414
2016-09-02,3.234796,3.2302005
2016-09-03,0.00025,2.9963372
2016-09-04,0.0004,2.5414126
2016-09-05,4.531328,2.5414126
2016-09-06,3.609196,3.5843184
2016-09-07,3.07456,3.1575751
2016-09-08,2.688381,2.9295652
2016-09-09,3.818159,2.7032018
2016-09-10,0.2,3.2506697
2016-09-11,0.002,2.5414126
2016-09-12,2.512405,2.5414126
2016-09-13,3.79759,2.4717531
2016-09-14,2.680246,3.2414098
2016-09-15,3.534428,2.692542
2016-09-16,2.761253,3.1247997
2016-09-17,0.0,2.7984762
2016-09-18,0.072008,2.5414126
2016-09-19,1.375514,2.5414126
2016-09-20,2.64319,2.1049378
2016-09-21,5.217661,2.643933
2016-09-22,0.6953,3.6364806
2016-09-23,4.022973,2.5414126
2016-09-24,4.453737666666667,3.3440123
2016-09-25,4.884502333333333,3.5468678
2016-09-26,5.315267,3.643315
2016-09-27,3.794895,3.634351
2016-09-28,3.073655,3.2401974
2016-09-29,4.936465,2.929192
2016-09-30,6.245516,3.642292
2016-10-01,3.125608,3.610998
2016-10-02,0.0057,2.9506898
2016-10-03,5.096281,2.5414126
2016-10-04,4.2027,3.639047
2016-10-05,2.605608,3.4275901
2016-10-06,2.846492,2.594548
2016-10-07,2.383695,2.8368895
2016-10-08,0.335313,2.301605
2016-10-09,0.002104,2.5414126
2016-10-10,3.019732,2.5414126
2016-10-11,5.237966,2.9070308
2016-10-12,3.983416,3.6360419
2016-10-13,2.971933,3.3258247
2016-10-14,5.791144,2.8875165
2016-10-15,0.02479,3.623112
2016-10-16,0.01086,2.5414126
2016-10-17,4.383419,2.5414126
2016-10-18,3.079574,3.5131633
2016-10-19,2.922857,2.9316337
2016-10-20,4.087261,2.867609
2016-10-21,6.645592,3.3737307
2016-10-22,6.285882333333333,3.5991747
2016-10-23,5.926172666666667,3.6098554
2016-10-24,5.566463,3.6196566
2016-10-25,4.33321,3.6285992
2016-10-26,3.367031,3.4892366
2016-10-27,2.969523,3.0524569
2016-10-28,3.303102,2.8865361
2016-10-29,5e-05,3.0252116
2016-10-30,1.469603,2.5414126
2016-10-31,3.208768,1.9775853
2016-11-01,5.143365,2.9853988
2016-11-02,3.454837,3.638062
2016-11-03,1.091664,3.0902236
2016-11-04,3.878953,2.4518948
2016-11-05,0.1,3.2781618
2016-11-06,0.938444,2.5414126
2016-11-07,4.831587,2.5208619
2016-11-08,4.434847,3.6443403
2016-11-09,4.542427,3.5377913
2016-11-10,3.816773,3.5896976
2016-11-11,3.302187,3.2500453
2016-11-12,2.1896335,3.0248237
2016-11-13,1.07708,2.044439
2016-11-14,3.056277,2.459367
2016-11-15,5.766481,2.922033
2016-11-16,3.400866,3.6237302
2016-11-17,2.747727,3.0669627
2016-11-18,4.114787,2.780822
2016-11-19,0.002,3.3865159
2016-11-20,0.901826,2.5414126
2016-11-21,5.191621,2.535393
2016-11-22,3.945807,3.637038
2016-11-23,1.341076,3.3086042
2016-11-24,5.325381,2.1511946
2016-11-25,2.669727,3.6341274
2016-11-26,1.779864,2.6787527
2016-11-27,0.890001,1.6278031
2016-11-28,4.485743,2.5393877
2016-11-29,3.86279,3.5622828
2016-11-30,5.535632,3.270835
2016-12-01,6.221522,3.6293259
2016-12-02,5.394989,3.6116734
2016-12-03,3.1421605,3.6325688
2016-12-04,0.889332,2.9575691
2016-12-05,3.250413,2.5395522
2016-12-06,3.466449,3.0029173
2016-12-07,3.76134,3.0952482
2016-12-08,5.450301,3.2251403
2016-12-09,5.316954,3.631308
2016-12-10,2.683487,3.6343138
2016-12-11,0.05002,2.6967895
2016-12-12,3.305307,2.5414126
2016-12-13,5.83465,3.026148
2016-12-14,3.600151,3.622012
2016-12-15,4.060397,3.1535952
2016-12-16,2.31614,3.361288
2016-12-17,1.558835,2.2121282
2016-12-18,0.80153,1.8555306
2016-12-19,3.845423,2.5414126
2016-12-20,3.474916,3.2629764
2016-12-21,4.865568,3.0989158
2016-12-22,4.620736,3.6436832
2016-12-23,0.667664,3.6278076
2016-12-24,0.3338345,2.5414126
2016-12-25,5e-06,2.5414126
2016-12-26,3.52797,2.5414126
2016-12-27,1.647426,3.1219823
2016-12-28,2.74004,1.74738
2016-12-29,0.494117,2.7707822
2016-12-30,0.70295,2.5414126
2016-12-31,0.4686566666666666,2.5414126
2017-01-01,0.2343633333333333,2.5414126
2017-01-02,7e-05,2.5414126
2017-01-03,0.0024,2.5414126
2017-01-04,0.02925,2.5414126
2017-01-05,0.083929,2.5414126
2017-01-06,0.17514,2.5414126
2017-01-07,0.11815266666666666,2.5414126
2017-01-08,0.06116533333333333,2.5414126
2017-01-09,0.004178,2.5414126
