Date,Real Demand,Predicted Demand
2016-01-09,3.174533,3.491735
2016-01-10,0.307224,2.8342533
2016-01-11,2.277051,2.5395024
2016-01-12,6.371741,2.2214546
2016-01-13,3.764492,3.4821084
2016-01-14,4.001344,3.125625
2016-01-15,3.204563,3.2334914
2016-01-16,1.664586,2.8496752
2016-01-17,0.124609,1.2915655
2016-01-18,5.325449,2.5395024
2016-01-19,2.711011,3.5162745
2016-01-20,3.199452,2.5932467
2016-01-21,2.895489,2.847054
2016-01-22,7.222116,2.6888642
2016-01-23,3.633808,3.4593165
2016-01-24,0.0455,3.0635822
2016-01-25,4.010323,2.5395024
2016-01-26,3.014201,3.237454
2016-01-27,2.434945,2.7511284
2016-01-28,2.833802,2.4539547
2016-01-29,3.305801,2.6563184
2016-01-30,1.8505455,2.9013166
2016-01-31,0.39529,1.3455068
2016-02-01,5.100227,2.5395024
2016-02-02,4.0558,3.5256433
2016-02-03,5.323412,3.2573717
2016-02-04,5.071729,3.5163548
2016-02-05,3.731704,3.5268996
2016-02-06,3.5798006666666664,3.1102166
2016-02-07,3.4278973333333336,3.0374725
2016-02-08,3.275994,2.9626987
2016-02-09,3.077168,2.8861768
2016-02-10,3.675462,2.7839212
2016-02-11,0.350031,3.083537
2016-02-12,3.251796,2.5395024
2016-02-13,0.0,2.8738444
2016-02-14,0.223405,2.5395024
2016-02-15,3.604933,2.5395024
2016-02-16,2.686232,3.0496552
2016-02-17,2.18642,2.5807831
2016-02-18,2.125914,2.046618
2016-02-19,4.535797,1.9181967
2016-02-20,0.1,3.4506135
2016-02-21,0.0,2.5395024
2016-02-22,5.112174,2.5395024
2016-02-23,2.775419,3.525122
2016-02-24,2.82745,2.6255822
2016-02-25,1.766155,2.652961
2016-02-26,3.743929,1.3205208
2016-02-27,4.226964666666667,3.1159744
2016-02-28,4.710000333333333,3.3299732
2016-02-29,5.193036,3.5121946
2016-03-01,4.554147,3.5216653
2016-03-02,4.365375,3.4573295
2016-03-03,3.986265,3.38577
2016-03-04,4.02437,3.2268152
2016-03-05,0.1,3.2436333
2016-03-06,0.005,2.5395024
2016-03-07,4.100344,2.5395024
2016-03-08,4.699662,3.2766314
2016-03-09,2.580655,3.5086782
2016-03-10,3.628986,2.527569
2016-03-11,3.938226,3.061262
2016-03-12,1.971623,3.2053661
2016-03-13,0.00502,1.5511161
2016-03-14,3.625851,2.5395024
2016-03-15,8.056144,3.059752
2016-03-16,3.216736,3.433062
2016-03-17,5.316634,2.8559124
2016-03-18,3.157581,3.5166235
2016-03-19,1.7837905,2.8255255
2016-03-20,0.41,1.325541
2016-03-21,1.712121,2.5395024
2016-03-22,3.810089,1.3051254
2016-03-23,3.988966,3.1468692
2016-03-24,4.445346,3.2280128
2016-03-25,3.920876,3.4167452
2016-03-26,1.961088,3.1975534
2016-03-27,0.0013,1.5241224
2016-03-28,3.192796,2.5395024
2016-03-29,2.697892,2.8436382
2016-03-30,2.839889,2.5866494
2016-03-31,6.687889,2.6595352
2016-04-01,4.658104,3.4732337
2016-04-02,2.329232,3.4943647
2016-04-03,0.00036,2.3123598
2016-04-04,3.877174,2.5395024
2016-04-05,6.129956,3.1777222
2016-04-06,2.04966,3.4891016
2016-04-07,4.060646,1.7436051
2016-04-08,3.976976,3.259479
2016-04-09,2.166015,3.222689
2016-04-10,0.355054,2.0043368
2016-04-11,4.570534,2.5395024
2016-04-12,2.535707,3.463282
2016-04-13,3.148098,2.5048738
2016-04-14,3.475078,2.8206363
2016-04-15,3.96509,2.9861236
2016-04-16,0.0395,3.2173944
2016-04-17,0.0,2.5395024
2016-04-18,5.038043,2.5395024
2016-04-19,3.597511,3.528405
2016-04-20,2.555546,3.0460634
2016-04-21,4.921775,2.514893
2016-04-22,3.288331,3.5337827
2016-04-23,3.666882,2.89245
2016-04-24,4.045433,3.07944
2016-04-25,4.423984,3.2528534
2016-04-26,3.461109,3.408564
2016-04-27,2.602435,2.9792058
2016-04-28,4.194752,2.538559
2016-04-29,1.600825,3.316605
2016-04-30,0.205466,1.273357
2016-05-01,0.00155,2.5395024
2016-05-02,2.36558,2.5395024
2016-05-03,0.776965,2.3714392
2016-05-04,0.465203,2.5395024
2016-05-05,1.151777,2.5395024
2016-05-06,7.144695,2.5395024
2016-05-07,6.7583693333333335,3.4614372
2016-05-08,6.372043666666667,3.4712634
2016-05-09,5.985718,3.4820998
2016-05-10,5.2675,3.4934435
2016-05-11,2.816855,3.5185938
2016-05-12,2.590151,2.6473582
2016-05-13,4.680195,2.5323613
2016-05-14,2.553525,3.502009
2016-05-15,0.426855,2.5138726
2016-05-16,5.661399,2.5395024
2016-05-17,2.87291,3.503929
2016-05-18,2.778182,2.6769652
2016-05-19,2.801538,2.6269677
2016-05-20,4.582989,2.6392527
2016-05-21,2.2917725,3.4677784
2016-05-22,0.000556,2.2478282
2016-05-23,7.637087,2.5395024
2016-05-24,3.529894,3.4469893
2016-05-25,2.323483,3.0131164
2016-05-26,3.382641,2.302696
2016-05-27,3.274237,2.9400709
2016-05-28,1.6383625,2.8852825
2016-05-29,0.002488,1.2840796
2016-05-30,3.221946,2.5395024
2016-05-31,3.502141,2.8585818
2016-06-01,4.593657,2.9994807
2016-06-02,4.152028,3.4716094
2016-06-03,4.025082,3.29866
2016-06-04,2.062816,3.2439456
2016-06-05,0.10055,1.7747086
2016-06-06,2.664371,2.5395024
2016-06-07,3.807253,2.5697782
2016-06-08,3.594174,3.1455545
2016-06-09,3.353794,3.0444467
2016-06-10,3.2609,2.9255695
2016-06-11,1.68045,2.8784883
2016-06-12,0.1,1.2960924
2016-06-13,3.695758,2.5395024
2016-06-14,3.190852,3.0932007
2016-06-15,2.042264,2.84264
2016-06-16,2.301616,1.7259442
2016-06-17,3.713945,2.2651439
2016-06-18,1.923325,3.1018257
2016-06-19,0.132705,1.4287819
2016-06-20,4.962971,2.5395024
2016-06-21,4.258881,3.531845
2016-06-22,3.530907,3.3430781
2016-06-23,4.476739,3.0136125
2016-06-24,1.231446,3.4286418
2016-06-25,0.1,2.5395024
2016-06-26,0.000539,2.5395024
2016-06-27,4.595783,2.5395024
2016-06-28,2.667414,3.4723704
2016-06-29,2.968256,2.5713108
2016-06-30,8.474538,2.7270935
2016-07-01,4.311398,3.4178534
2016-07-02,5.222578,3.3643332
2016-07-03,6.133758,3.5204344
2016-07-04,7.044938,3.488989
2016-07-05,4.012256,3.4640799
2016-07-06,2.327337,3.2383056
2016-07-07,4.935617,2.309184
2016-07-08,4.007045,3.5331275
2016-07-09,2.0285375,3.2360084
2016-07-10,0.05003,1.6928371
2016-07-11,3.488801,2.5395024
2016-07-12,3.513715,2.9929037
2016-07-13,2.930487,3.0051749
2016-07-14,5.481413,2.7072747
2016-07-15,3.041193,3.5103223
2016-07-16,1.5223655,2.7652073
2016-07-17,0.003538,1.2509233
2016-07-18,1.271348,2.5395024
2016-07-19,3.336089,2.533282
2016-07-20,4.349125,2.916641
2016-07-21,3.839376,3.3793604
2016-07-22,3.964419,3.1603987
2016-07-23,1.9852315,3.217095
2016-07-24,0.006044,1.58564
2016-07-25,7.278507,2.5395024
2016-07-26,3.459104,3.4577353
2016-07-27,2.902989,2.9782119
2016-07-28,3.916273,2.692813
2016-07-29,8.852549,3.1954744
2016-07-30,0.000266,3.4031057
2016-07-31,0.049485,2.5395024
2016-08-01,5.235651,2.5395024
2016-08-02,4.950386,3.5198948
2016-08-03,4.30827,3.532433
2016-08-04,2.541873,3.363078
2016-08-05,4.477246,2.507988
2016-08-06,2.2387555,3.4288332
2016-08-07,0.000265,2.1501842
2016-08-08,5.789877,2.5395024
2016-08-09,2.724033,3.4996345
2016-08-10,2.409546,2.5997915
2016-08-11,1.661087,2.4382663
2016-08-12,1.30316,1.2905672
2016-08-13,0.652646,2.5010507
2016-08-14,0.002132,2.5395024
2016-08-15,2.460394,2.5395024
2016-08-16,1.415202,2.4668179
2016-08-17,3.150501,2.3237774
2016-08-18,3.554027,2.8218758
2016-08-19,4.032005,3.0249205
2016-08-20,2.0370025,3.2469819
2016-08-21,0.042,1.7133043
2016-08-22,6.317772,2.5395024
2016-08-23,3.284903,3.483646
2016-08-24,2.475031,2.890708
2016-08-25,2.695947,2.4742157
2016-08-26,3.428088,2.585671
2016-08-27,0.001,2.9627936
2016-08-28,0.000891,2.5395024
2016-08-29,3.587964,2.5395024
2016-08-30,3.161855,3.0414355
2016-08-31,5.038322,2.8277273
2016-09-01,3.77263,3.5283926
2016-09-02,3.234796,3.1294324
2016-09-03,0.00025,2.8651586
2016-09-04,0.0004,2.5395024
2016-09-05,4.531328,2.5395024
2016-09-06,3.609196,3.4489698
2016-09-07,3.07456,3.051716
2016-09-08,2.688381,2.7825668
2016-09-09,3.818159,2.5818644
2016-09-10,0.2,3.1506066
2016-09-11,0.002,2.5395024
2016-09-12,2.512405,2.5395024
2016-09-13,3.79759,2.493102
2016-09-14,2.680246,3.1410675
2016-09-15,3.534428,2.5777707
2016-09-16,2.761253,3.0153377
2016-09-17,0.0,2.6184788
2016-09-18,0.072008,2.5395024
2016-09-19,1.375514,2.5395024
2016-09-20,2.64319,2.3909175
2016-09-21,5.217661,2.559108
2016-09-22,0.6953,3.520638
2016-09-23,4.022973,2.5395024
2016-09-24,4.453737666666667,3.2430198
2016-09-25,4.884502333333333,3.4199398
2016-09-26,5.315267,3.5355673
